Prompt,Layer,Score
essence of emanation {descriptor} fragrance scented,4,0.38947921302471844,0.38251192678064205,0.3964464992687949
emanation {descriptor} scented,23,0.22811603810454217,0.23599221487817051,0.22023986133091383
hint of molecule {descriptor} smell flavored,5,0.411923942898862,0.4107358627209193,0.41311202307680484
essence of odor {descriptor} smell flavored,6,0.42452710127674287,0.44025786528388433,0.40879633726960146
flavor of odor {descriptor} molecule incense,9,0.41956957654606897,0.4094746061189001,0.4296645469732378
smell {descriptor} flavor flavored,15,0.43829619362461014,0.44934718129916157,0.42724520595005866
flavor of chemical {descriptor} emanation scented,0,0.3209131036323629,0.3343313194105051,0.30749488785422074
essence of scent {descriptor} scent,21,0.40040367567043006,0.3848952262983576,0.4159121250425025
hint of fragrance {descriptor} chemical essential oil,16,0.3624886296137007,0.3813055432710164,0.343671715956385
smells like perfume {descriptor} fragrance flavored,9,0.4193624513167882,0.40274823203109406,0.43597667060248224
flavor of molecule {descriptor} odor incense,16,0.39223225165770237,0.4212645503878703,0.3631999529275345
molecule {descriptor} scent incense,16,0.39131574468963437,0.39474259153688274,0.38788889784238595
aroma {descriptor} essence,16,0.42481885177099826,0.42473133866562773,0.4249063648763688
essence of chemical {descriptor} scent essential oil,21,0.3973619671492025,0.3940750127076972,0.40064892159070786
smells like fragrance {descriptor} perfume odorant,6,0.4023915662806332,0.400924272036133,0.4038588605251335
smells like odor {descriptor} fragrance,1,0.35377967372350516,0.33916302016478583,0.36839632728222454
smells like chemical {descriptor} chemical odorant,17,0.41832302061169374,0.4193837276915163,0.4172623135318712
hint of chemical {descriptor} smell essential oil,12,0.43463745632226014,0.4448317622338509,0.4244431504106694
{descriptor} odor odorant,6,0.3759335426551723,0.38390515103777767,0.36796193427256696
perfume {descriptor} essential oil,19,0.38341510065864187,0.3889839529608391,0.37784624835644465
essence of scent {descriptor} molecule incense,10,0.45851519787757655,0.4603505359010378,0.4566798598541153
hint of chemical {descriptor} smell flavored,16,0.37305534464179024,0.4398696657768071,0.30624102350677335
smells like scent {descriptor} scent essential oil,1,0.34910792564992904,0.33178086422398334,0.36643498707587474
emanation {descriptor} flavor,15,0.41443372732055506,0.4169785765111723,0.4118888781299378
smells like scent {descriptor} essence,8,0.42321851417355216,0.4111388457524187,0.43529818259468556
smells like fragrance {descriptor} aroma odorant,12,0.4244852433247899,0.4311029786664904,0.41786750798308936
smells like aroma {descriptor} perfume incense,10,0.4290888164450689,0.4313585872555127,0.42681904563462514
